"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","44","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Game/UI/Circle.Circle","0","0","24","1","0.000000","0","0"
"/Game/Models/Table/Material.Material","0","0","28","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","40","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BrownCan/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BrownCan_resized/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BrownCan_resized/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/RedCan_resized/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/RedCan_resized/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/RedCan/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/RedCan/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/GreenCan_resized/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/GreenCan_resized/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/GreenCan/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/GreenCan/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/DarkBlueCan/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/DarkBlueCan/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BrownCan/Material_006.Material_006","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BlueBottle/Material_003.Material_003","0","0","28","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BlueBottle/Material_002.Material_002","0","0","28","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BlueBottle/Material_001.Material_001","0","0","28","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BigBottle_resized/Material_003.Material_003","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BigBottle_resized/Material_002.Material_002","0","0","14","1","0.000000","0","0"
"/Game/Inventory/Items/Models/Consumables/BigBottle_resized/Material_001.Material_001","0","0","14","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","35","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","111","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","845","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","58","6","0.000000","0","3"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Game/Textures/obsidian_480p_Pillar.obsidian_480p_Pillar","0","0","23","1","0.000000","0","0"
"/Game/Textures/1-removebg-preview_Mat.1-removebg-preview_Mat","0","0","31","1","0.000000","0","0"
"/Game/Textures/WEARESTILLHERE_Mat.WEARESTILLHERE_Mat","0","0","44","1","0.000000","0","0"
"/Game/Models/Nature/Material_001.Material_001","0","0","46","1","0.000000","0","0"
"/Game/Models/Nature/Material_002.Material_002","0","0","46","1","0.000000","0","0"
"/Game/Textures/obsidian_480p_Mat.obsidian_480p_Mat","0","0","23","1","0.000000","0","0"
